model_id,year,average_price
27,2015,22993333.3333333
43,2011,11326666.6666667
43,2017,29942000.0
43,2019,37796666.6666667
43,2020,40467500.0
44,2012,12653333.3333333
44,2014,16395000.0
51,2012,12793333.3333333
51,2019,24462500.0
52,2013,13156000.0
52,2017,18160000.0
52,2019,28912000.0
52,2023,30993333.0
53,2007,7275000.0
53,2010,33337766666.3333
53,2013,7817999.8
53,2014,11963333.3333333
53,2015,13826666.6666667
53,2017,16013333.3333333
56,2014,11213636.3636364
56,2015,10898000.0
56,2016,14422500.0
56,2017,17475714.2857143
56,2018,17502222.2222222
56,2019,18541000.0
56,2020,19956666.6666667
56,2023,27323333.3333333
57,2012,8814000.0
57,2018,14790000.0
68,2014,26700000.0
68,2017,42966666.6666667
68,2018,41376000.0
68,2021,74798571.4285714
68,2023,91095000.0
74,2010,12496666.6666667
74,2013,16614000.0
74,2014,20040000.0
74,2016,23286666.6666667
74,2017,29967500.0
74,2018,35402000.0
74,2019,44590000.0
74,2021,54956666.6666667
74,2022,65232857.1428571
74,2023,78850000.0
79,2014,10806666.6666667
79,2015,19333333.3333333
79,2017,19715000.0
79,2018,25956666.6666667
79,2019,31630000.0
79,2021,43352500.0
79,2022,48950000.0
79,2023,63300000.0
110,2013,11260660.0
110,2022,42430000.0
112,2022,39720000.0
116,2011,7900000.0
116,2013,13736000.0
116,2014,13039999.75
116,2015,15930000.0
116,2017,18194000.0
116,2018,18912500.0
116,2021,28000000.0
116,2023,40100000.0
117,2011,9633333.33333333
117,2017,15592500.0
118,2011,8483333.33333333
118,2013,11117500.0
122,2016,14080000.0
122,2017,15117500.0
122,2018,18153333.3333333
123,2017,13256000.0
123,2018,8348065833.25
123,2019,16911250.0
123,2021,20094999.8333333
124,2010,7300000.0
124,2011,8540000.0
124,2012,7583333.33333333
124,2013,9792000.0
124,2014,11190000.0
124,2015,10000000.0
129,2011,2750000.0
129,2014,3216666.66666667
134,2013,4426666.66666667
137,2013,2900000.0
137,2017,4360000.0
137,2020,4760000.0
149,2011,8687500.0
149,2014,12997500.0
149,2015,10913333.3333333
149,2016,12817500.0
149,2017,11816666.6666667
149,2018,16715999.8
149,2019,26300000.0
149,2021,27300000.0
149,2022,36186666.6666667
149,2023,40070000.0
150,2019,20242500.0
150,2020,24796000.0
150,2021,25663333.3333333
150,2022,29656666.6666667
151,2014,20147500.0
151,2017,28125000.0
151,2019,34160000.0
154,2011,3872307.69230769
154,2012,4130000.0
154,2013,3850000.0
154,2014,3998571.42857143
154,2015,4781666.66666667
154,2019,5963333.33333333
154,2020,6708333.33333333
154,2021,7059875.0
155,2012,14290127142.7143
155,2013,4789000.0
155,2014,5488000.0
156,2013,15050000.0
156,2015,24766666.6666667
156,2016,22827142.8571429
156,2017,23207500.0
156,2018,7166384999.85714
156,2019,29426000.0
156,2020,35360769.1538462
156,2021,36830769.2307692
156,2022,41671111.1111111
156,2023,49250652.4705882
156,2024,59332420.0
158,2011,3860000.0
158,2012,4150000.0
158,2013,3920208.33333333
158,2014,5887095882.23529
158,2015,4875882.35294118
158,2016,5205999.95
158,2017,6820000.0
158,2018,6596111.11111111
158,2019,6970357.14285714
158,2020,5270448421.0
158,2021,8213933.33333333
158,2022,8455555.55555556
158,2023,7705000.0
160,2012,6483333.33333333
160,2013,14292559999.8571
160,2014,16673367499.8333
160,2016,10100000.0
161,2006,2925000.0
161,2009,4900000.0
161,2010,3290000.0
161,2011,3981111.11111111
161,2012,4407142.85714286
161,2013,5063333.33333333
162,2006,2750000.0
162,2011,5400000.0
162,2018,6892500.0
163,1989,1830000.0
163,1993,2363333.33333333
163,1995,2650000.0
163,1997,2366666.66666667
163,1998,2925000.0
163,2000,3997500.0
163,2001,4100000.0
167,2018,15082500.0
169,2011,8584285.71428571
169,2013,7743750.0
169,2014,9293333.33333333
169,2015,10565000.0
169,2016,9520000.0
169,2017,11457000.0
169,2018,11298499.95
169,2019,4359113913.0
169,2020,12103888.8888889
169,2021,13322500.0
170,2010,3600000.0
170,2011,4555555.55555556
170,2012,5792500.0
170,2013,5622727.27272727
170,2014,6513846.15384615
170,2015,5233333.33333333
170,2016,7098333.33333333
172,2001,1540000.0
172,2002,1800000.0
172,2003,2430000.0
172,2004,1931250.0
172,2005,1792857.14285714
172,2006,2679000.0
172,2007,2521111.11111111
172,2008,16668958331.5
172,2009,2700000.0
172,2010,3160000.0
172,2011,2819999.8
173,2007,5963333.33333333
173,2009,5861666.66666667
173,2012,6962285.71428571
173,2013,7843333.33333333
173,2018,21455000.0
173,2019,19777000.0
173,2020,17173999.8
173,2021,22672222.2222222
173,2022,26802727.2727273
176,2007,4580000.0
176,2010,5842500.0
176,2011,6434000.0
176,2012,8449166.66666667
176,2013,8854166.66666667
176,2014,8961538.46153846
176,2015,10170646.4705882
176,2016,10247272.6363636
176,2017,21926000.0
176,2018,12876000.0
176,2019,13276666.6666667
176,2020,13278571.4285714
176,2021,14533684.2105263
176,2022,7156472629.0
177,2012,21176000.0
177,2016,29623333.3333333
179,2023,37596666.6666667
180,2004,1616667.33333333
180,2006,3000000.0
180,2007,3400000.0
180,2008,4834117.64705882
180,2009,2992857.14285714
180,2010,3492000.0
180,2011,4185555.55555556
180,2012,4495000.0
180,2013,3800000.0
180,2014,4852857.14285714
180,2016,5418000.0
200,2008,3933333.0
200,2009,4166666.66666667
200,2010,5066666.66666667
200,2012,5090000.0
200,2013,25004744999.75
200,2014,6343333.33333333
200,2017,9430000.0
200,2018,8796666.66666667
200,2019,12491800.0
200,2022,18466250.0
201,2005,2750000.0
201,2008,2900000.0
201,2011,4503333.33333333
201,2012,5419800.0
201,2013,10005146999.9
201,2014,6218000.0
201,2015,5658333.33333333
201,2017,7989166.66666667
201,2018,10337500.0
201,2019,10304500.0
201,2020,11665000.0
201,2021,5566674195.0
201,2022,12405625.0
201,2023,12778000.0
205,2023,31626666.6666667
208,2019,16125000.0
208,2020,18122500.0
208,2021,18209090.9090909
208,2023,24022857.1428571
212,2007,3333333.33333333
213,2010,3026666.66666667
213,2013,4912500.0
213,2015,6095000.0
213,2017,6823000.0
213,2018,6397857.14285714
213,2019,7509750.0
213,2020,9387333.33333333
213,2021,5273080526.26316
221,1999,1133333.33333333
226,2008,5663333.33333333
226,2014,7296000.0
240,2010,6025000.0
240,2011,6340000.0
240,2012,7453333.33333333
240,2013,7833333.33333333
240,2014,11119258888.7778
240,2015,10379230.7692308
240,2016,11066000.0
240,2017,11954000.0
240,2018,11354000.0
240,2019,13726666.6666667
241,2006,5266666.66666667
241,2008,6413333.33333333
241,2010,6412500.0
241,2012,11372500.0
241,2013,12585000.0
241,2014,12383333.3333333
241,2019,25563333.3333333
241,2020,21508333.1666667
242,2010,8325000.0
242,2012,9210000.0
246,2012,6117500.0
266,2017,5716666.66666667
266,2018,6194000.0
266,2019,6396000.0
266,2020,8066666.66666667
267,2014,6025000.0
267,2016,20006039999.8
267,2017,6923333.33333333
267,2018,5858000.0
269,2006,2333333.33333333
272,2004,2433333.33333333
276,2012,3937500.0
276,2013,4800000.0
276,2014,3897500.0
284,1997,6333333.33333333
284,2006,3550000.0
284,2008,7216666.66666667
284,2010,14291435714.1429
284,2011,8310000.0
284,2012,8350000.0
284,2013,11668888.8888889
284,2014,12620000.0
284,2015,12996666.6666667
284,2016,13244545.4545455
284,2017,16104545.4545455
284,2018,17484746.65
284,2019,19141111.1111111
284,2020,25047000.0
284,2021,27390562.5
284,2022,27602631.5789474
284,2023,32717777.7777778
285,2012,7398333.33333333
285,2013,7200000.0
285,2014,7167500.0
285,2015,7842727.27272727
285,2016,8561111.11111111
285,2017,9643333.33333333
285,2018,11351250.0
285,2019,10963333.3333333
286,2010,33337926666.3333
286,2011,8650000.0
286,2012,11693333.3333333
286,2013,8342484166.5
286,2014,13396923.0769231
286,2015,13472500.0
286,2016,17632777.7777778
286,2017,17017499.9375
286,2018,19812222.1666667
286,2019,21665384.6153846
286,2020,27305555.5555556
286,2021,33407202.7142857
286,2022,40816000.0
