make_id,model_id,year,cylinder_capacity,km,color,region,price,fuel_type_id,transmission_id,traction_id,age
20,293,2017,3500,50000,-1,0,20690000,0,1,0,7
27,334,2021,0,18000,-1,0,14490000,0,0,-1,3
27,340,2014,2500,200000,-1,10,10200000,1,0,-1,10
11,158,2020,1500,36484,-1,0,7490000,0,0,-1,4
23,5975,2021,2000,56000,-1,0,15000000,1,0,0,3
63,762,2014,2500,260000,-1,10,12000000,1,0,1,10
11,1806,2018,1400,85000,-1,0,6200000,0,0,-1,6
49,642,2021,1600,68515,-1,0,10990000,1,0,-1,3
33,410,2022,0,20000,-1,0,8480000,0,0,-1,2
33,396,2019,0,51695,4,2,20490000,1,1,-1,5
64,792,2019,2000,75000,-1,2,19990000,1,1,1,5
48,5884,2021,1600,25000,-1,5,16250000,0,1,-1,3
11,154,2014,0,160000,-1,0,2500000,0,0,-1,10
57,709,2016,1200,140075,-1,0,6300000,0,0,0,8
47,622,2015,2500,209776,-1,1,8490000,1,0,0,9
60,724,2010,3600,147404,-1,0,7950000,0,1,1,14
13,200,2018,1200,76245,1,0,7690000,0,0,0,6
64,776,2019,1600,70000,-1,0,9500000,0,0,0,5
31,389,2019,3200,66400,3,0,16970000,0,1,1,5
20,291,2011,1600,160000,-1,11,4200000,0,0,-1,13
27,334,2014,0,125000,-1,7,11000000,1,0,-1,10
63,771,2013,4000,156000,-1,2,16500000,0,1,-1,11
20,285,2019,2000,80000,-1,0,13000000,0,1,0,5
47,616,2016,0,67000,-1,3,9000000,0,0,-1,8
19,1640,2013,0,90000,0,0,7480000,0,1,-1,11
59,721,2014,0,117300,-1,5,5000000,0,0,-1,10
33,407,2020,1600,100000,-1,5,12700000,0,0,0,4
53,690,2020,0,35200,0,0,42900000,0,1,-1,4
52,5600,2019,1600,61000,-1,0,10290000,0,0,0,5
20,299,2020,0,42491,-1,0,13090000,0,1,1,4
43,5586,2022,0,56705,-1,3,8490000,0,0,-1,2
48,6170,2021,0,20000,-1,0,15000000,0,0,-1,3
20,299,2019,1500,94000,-1,6,12000000,0,1,0,5
11,169,2012,0,200000,-1,4,8500000,1,0,-1,12
63,760,2017,0,91235,-1,0,11190000,0,0,-1,7
73,5845,2023,0,1800,-1,5,10480000,0,0,-1,1
29,6026,2017,7000,37500,-1,3,8280000,0,0,-1,7
65,802,2019,2400,60000,0,10,19000000,1,1,0,5
27,353,2021,6000,46000,-1,5,9850000,0,0,-1,3
19,274,2013,1400,236000,-1,0,4200000,0,0,0,11
61,736,2017,0,33500,-1,3,7500000,0,0,-1,7
47,1454,2016,2500,108000,-1,5,11000000,0,0,0,8
31,382,2022,3600,36900,0,0,38980000,0,1,1,2
27,339,2004,0,82893,-1,10,8800000,1,0,-1,20
61,736,2022,1000,29000,-1,0,10500000,0,0,0,2
7,5904,2021,1600,100000000,-1,0,11000000,0,0,0,3
20,288,2016,5000,65000,-1,7,22990000,0,0,0,8
60,728,2010,2000,165000,-1,0,75000000,0,1,1,14
11,176,2015,2200,139000,-1,5,11500000,1,0,1,9
20,285,2018,2000,67000,-1,0,9500000,0,1,0,6
29,1685,2021,0,81000,-1,5,8040000,0,0,-1,3
49,657,2008,0,60262,-1,0,16990000,0,1,-1,16
40,474,2021,2000,20000,-1,11,24990000,0,1,1,3
11,180,2016,1400,56000,-1,3,6950000,0,0,0,8
4,890,2024,1400,1500,7,0,38970000,0,1,0,0
40,470,2011,1600,198000,-1,6,6250000,0,0,0,13
52,833,1998,0,233000,-1,0,1500000,0,0,-1,26
61,747,2016,0,105000,-1,7,7990000,0,0,-1,8
63,771,2012,4000,142000,-1,0,16500000,0,1,1,12
27,350,2015,1600,73109,-1,0,9000000,0,0,0,9
20,293,2020,0,31683,-1,0,38600000,0,1,1,4
27,353,2020,0,74000,-1,0,7800000,0,0,-1,4
43,5587,2019,1400,183,-1,0,9500000,0,1,-1,5
27,353,2007,0,196000,-1,5,4000000,0,1,-1,17
6,122,2018,2000,70000,1,0,18990000,0,1,0,6
112,5590,2021,2800,31500,-1,0,16900000,1,0,0,3
50,664,2017,0,45500,1,0,38900000,0,1,-1,7
16,6109,2012,0,153000,-1,0,22300000,0,1,-1,12
27,353,2013,1400,80000,-1,2,7000000,0,0,0,11
27,334,2010,2000,58778,-1,9,8000000,1,1,-1,14
20,284,2017,0,136000,-1,5,16900000,1,0,1,7
64,781,2016,0,96000,6,0,11600000,0,0,-1,8
11,176,2021,1500,15,-1,0,15000000,0,1,-1,3
49,810,2014,1200,80200,1,0,6000000,0,0,0,10
56,700,2021,1400,53000,-1,0,18500000,0,1,0,3
13,208,2021,1500,65000,4,0,16390000,1,1,0,3
30,5855,2021,2000,24289,8,6,39990000,0,1,1,3
49,1360,2015,0,152000,-1,0,7500000,1,1,-1,9
11,161,2010,0,180000,-1,2,2850000,0,0,-1,14
33,5994,2021,1500,56000,-1,12,14100000,0,1,0,3
11,158,2021,1500,42312,-1,0,7390000,0,0,-1,3
17,5656,2018,2000,60000,-1,0,7500000,0,0,-1,6
27,338,2013,2400,153000,-1,3,10500000,0,0,0,11
61,748,2022,1000,48071,-1,0,7990000,0,0,-1,2
4,890,2022,0,34800,1,0,38990000,0,1,-1,2
40,472,2018,3900,1,-1,0,23980000,0,1,0,6
40,474,2023,2000,15,-1,0,22000000,0,1,0,1
40,474,2019,0,55000,0,7,19590000,0,0,-1,5
11,169,2015,2500,250000,-1,10,11100000,1,0,-1,9
64,5599,2023,1600,6314,0,3,13290000,0,1,0,1
61,744,2022,1500,13063,-1,0,15700000,0,0,-1,2
11,908,2012,0,175000,-1,3,4200000,0,0,-1,12
63,762,2023,2400,60,5,0,24990000,1,0,0,1
19,1640,2019,0,63328,-1,0,9300000,0,0,0,5
60,723,2022,2000,32500,8,0,21990000,0,1,1,2
26,329,2020,1500,59100,-1,7,10300000,0,0,0,4
40,470,2016,1600,72000,-1,0,10400000,0,1,0,8
45,602,2017,2400,136500,-1,1,11890000,1,0,0,7
17,248,2019,0,28190,-1,0,6500000,0,0,-1,5
47,609,2016,2500,73000,-1,0,10990000,0,1,0,8
42,5872,2023,0,6300,-1,0,42900000,0,1,-1,1
61,750,2022,1400,3350,-1,3,9500000,0,0,0,2
60,723,2016,0,168000,-1,2,8000000,0,1,-1,8
27,5588,2017,1400,70000,0,5,8490000,0,0,0,7
4,56,2014,1200,140000,-1,0,10500000,0,1,0,10
65,800,2018,0,61200,-1,1,12990000,1,1,-1,6
13,208,2004,0,170000,-1,3,3200000,0,0,-1,20
33,5885,2020,1400,126000,0,0,7400000,0,0,0,4
33,393,2002,2000,240000,-1,0,3100000,0,0,1,22
33,401,2015,1400,139000,-1,0,6850000,0,0,0,9
42,519,2009,3000,224000,-1,0,7500000,0,1,1,15
